id,title,image_url,calories,protein,carbs,fat,prep_time,cook_time,difficulty,steps
11,Steak & Sweet Potato,https://images.unsplash.com/photo-1600891964092-4316c288032e?auto=format&fit=crop&w=800&q=80,520,45,40,20,10,20,Medium,"[""Season steak with salt and pepper."", ""Roast sweet potato cubes in oven."", ""Sear steak in pan to desired doneness."", ""Serve with steamed green beans.""]"
12,Beef & Broccoli Bowl,https://images.unsplash.com/photo-1541544744-378c545f1bfa?auto=format&fit=crop&w=800&q=80,410,38,35,15,10,15,Easy,"[""Steam broccoli florets."", ""Brown ground beef with garlic and ginger."", ""Mix beef and broccoli with oyster sauce."", ""Serve over rice.""]"
13,Salmon & Asparagus,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?auto=format&fit=crop&w=800&q=80,480,35,10,32,5,15,Medium,"[""Place salmon and asparagus on a baking sheet."", ""Drizzle with olive oil and lemon."", ""Bake at 200\u00b0C for 12-15 mins.""]"
14,Shrimp & Quinoa Bowl,https://images.unsplash.com/photo-1555126634-323283e090fa?auto=format&fit=crop&w=800&q=80,380,30,45,8,15,10,Easy,"[""Cook quinoa according to package."", ""Saut\u00e9 shrimp with garlic and paprika."", ""Mix shrimp, quinoa, and chopped cucumber."", ""Dress with lime juice.""]"
15,Baked Cod with Veggies,https://images.unsplash.com/photo-1532550907401-a500c9a57435?auto=format&fit=crop&w=800&q=80,300,35,20,5,10,15,Easy,"[""Season cod with herbs."", ""Place on baking tray with cherry tomatoes and zucchini."", ""Bake at 190\u00b0C for 15 mins.""]"
16,Tuna Salad Lettuce Wraps,https://images.unsplash.com/photo-1547496502-ffa2264a36b5?auto=format&fit=crop&w=800&q=80,280,35,5,12,10,0,Easy,"[""Drain canned tuna."", ""Mix tuna with yogurt, mustard, and celery."", ""Scoop mixture into lettuce leaves."", ""Sprinkle with black pepper.""]"
17,Tofu Scramble,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=800&q=80,310,22,12,18,10,10,Easy,"[""Crumble tofu."", ""Saut\u00e9 with turmeric, nutritional yeast, and onions."", ""Add kale and cook until wilted.""]"
18,Chickpea & Spinach Curry,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=800&q=80,420,18,60,12,10,20,Medium,"[""Saut\u00e9 onions and curry paste."", ""Add coconut milk and chickpeas."", ""Simmer for 15 mins."", ""Stir in spinach.""]"
19,Lentil Soup,https://images.unsplash.com/photo-1547592166-23acbe3a624b?auto=format&fit=crop&w=800&q=80,350,20,55,4,15,30,Medium,"[""Saut\u00e9 carrots, celery, and onions."", ""Add lentils and vegetable broth."", ""Simmer for 30 mins until lentils are soft."", ""Blend partially for texture.""]"
20,Cottage Cheese & Fruit Bowl,https://images.unsplash.com/photo-1505253716362-afaea1d3d1af?auto=format&fit=crop&w=800&q=80,250,28,25,4,3,0,Easy,"[""Serve cottage cheese in a bowl."", ""Top with sliced peaches or berries."", ""Drizzle slightly with honey.""]"
